#name	name2
XM_017588826.1	Utrn
XM_006227637.3	Utrn
XM_008758595.2	Utrn
XM_008758596.2	Utrn
XM_008758593.1	Utrn
XM_008758594.2	Utrn
NM_013070.1	Utrn
XR_001835509.1	LOC108349485
XM_017589099.1	Phactr2
XM_017589101.1	Phactr2
XM_017589100.1	Phactr2
XM_017589102.1	Phactr2
XM_017589103.1	Phactr2
XM_017589097.1	Phactr2
XM_017589098.1	Phactr2
NM_214458.1	Phactr2
NM_001115028.1	Adat2
NM_001134425.1	Aig1
XM_006227642.3	Aig1
XM_008758604.2	Aig1
NM_024137.1	Hivep2
XM_218313.9	Adgrg6
XM_006227647.3	Adgrg6
XM_017589821.1	Adgrg6
XM_017589822.1	Adgrg6
XR_589844.1	LOC103690920
XR_001835515.1	LOC108349488
XR_001835518.1	LOC103690921
XR_001835517.1	LOC103690921
XR_349817.3	LOC102552144
XR_349822.3	LOC102552459
XM_006227648.3	Ect2l
NM_001170534.2	Mcc
XR_589849.2	LOC102548015
XR_001835527.1	LOC102548015
XR_001835528.1	LOC102546491
XR_589851.1	LOC102546491
XR_589850.1	LOC102546491
XR_001835529.1	LOC102546491
XR_001835532.1	LOC102546831
XM_008758666.2	NEWGENE_2319083
XM_006227651.3	Arfgef3
XM_008758667.2	LOC103690074
XR_001835539.1	LOC108349498
NM_053783.1	Ifngr1
NM_001107521.1	Il20ra
NM_001034147.1	Pex7
NM_001277694.1	Map3k5
XM_008758591.2	Pde7b
NM_080894.2	Pde7b
NM_001002277.1	Ahi1
XM_017589835.1	Themis
XM_008758640.2	Themis
XM_006227680.3	Arhgap18
XM_017589037.1	Arhgap18
NM_001170575.1	Arhgap18
XM_006227696.3	L3mbtl3
XM_006227695.3	L3mbtl3
XM_006227697.3	L3mbtl3
XM_003748666.4	L3mbtl3
XM_006227698.3	L3mbtl3
XM_008758644.2	L3mbtl3
XM_017589838.1	L3mbtl3
XM_006227699.3	L3mbtl3
NM_001001801.3	Akap7
NM_019370.2	Enpp3
XM_006227692.3	Enpp1
NM_053535.1	Enpp1
XM_220095.8	Moxd1
XR_001835561.1	LOC108349187
XR_589877.2	LOC103690933
XR_001835565.1	LOC108349443
